transaction_id,date,product_id,customer_id,quantity,price,promotion_id
1,2023-01-01 11:44:20,101,1001,2,5.99,P001
2,2023-01-02 10:17:48,102,1002,1,3.49,P002
3,2023-01-03 09:06:08,101,1001,3,5.99,P001
4,2023-02-01 09:21:22,103,1003,1,4.99,0
5,2023-02-02 10:39:39,102,1002,4,3.49,P002
6,2023-03-15 16:48:14,101,1004,2,5.99,P003
7,2023-04-20 10:30:54,103,1005,5,4.99,0
8,2023-05-10 16:11:02,102,1001,3,3.49,P001
9,2023-06-05 12:57:23,101,1006,1,5.99,P004
10,2023-07-12 12:47:18,103,1002,2,4.99,0
11,2023-08-25 13:06:19,102,1007,4,3.49,P005
12,2023-09-30 16:00:20,101,1003,3,5.99,0
13,2023-10-18 12:11:32,103,1008,8,4.99,P006
14,2023-11-22 16:55:46,102,1004,2,3.49,0
15,2023-12-31 09:20:08,101,1009,5,5.99,P007
